ts,open,high,low,close,volume
2023-07-08 04:00:00+00:00,9.149,9.231,9.099,9.219,585656.0
2023-07-08 08:00:00+00:00,9.219,9.297,9.171,9.212,805346.0
2023-07-08 12:00:00+00:00,9.212,9.232,9.152,9.209,382282.0
2023-07-08 16:00:00+00:00,9.209,9.24,9.081,9.096,845068.0
2023-07-08 20:00:00+00:00,9.096,9.208,9.078,9.197,517575.0
2023-07-09 00:00:00+00:00,9.197,9.29,9.177,9.279,312709.0
2023-07-09 04:00:00+00:00,9.279,9.476,9.266,9.361,1434941.0
2023-07-09 08:00:00+00:00,9.361,9.44,9.348,9.36,819968.0
2023-07-09 12:00:00+00:00,9.36,9.423,9.331,9.39,1075010.0
2023-07-09 16:00:00+00:00,9.39,9.603,9.375,9.474,3441905.0
2023-07-09 20:00:00+00:00,9.474,9.51,9.41,9.419,1588824.0
2023-07-10 00:00:00+00:00,9.419,9.43,9.203,9.312,1487764.0
2023-07-10 04:00:00+00:00,9.312,9.342,9.233,9.247,724303.0
2023-07-10 08:00:00+00:00,9.247,9.347,9.166,9.32,991319.0
2023-07-10 12:00:00+00:00,9.32,9.353,9.238,9.26,1483724.0
2023-07-10 16:00:00+00:00,9.26,9.379,9.212,9.377,657663.0
2023-07-10 20:00:00+00:00,9.377,9.405,9.168,9.238,2858776.0
2023-07-11 00:00:00+00:00,9.238,9.306,9.143,9.291,608887.0
2023-07-11 04:00:00+00:00,9.291,9.358,9.277,9.32,882172.0
2023-07-11 08:00:00+00:00,9.32,9.32,9.219,9.3,1052981.0
2023-07-11 12:00:00+00:00,9.3,9.31,9.214,9.226,887400.0
2023-07-11 16:00:00+00:00,9.226,9.242,9.148,9.198,1070866.0
2023-07-11 20:00:00+00:00,9.198,9.203,9.152,9.192,908619.0
2023-07-12 00:00:00+00:00,9.192,9.232,9.164,9.2,281024.0
2023-07-12 04:00:00+00:00,9.2,9.284,9.172,9.247,893016.0
2023-07-12 08:00:00+00:00,9.247,9.25,9.202,9.209,562458.0
2023-07-12 12:00:00+00:00,9.209,9.25,9.118,9.131,1691920.0
2023-07-12 16:00:00+00:00,9.131,9.133,8.959,8.992,1247853.0
2023-07-12 20:00:00+00:00,8.992,9.077,8.979,9.062,426042.0
2023-07-13 00:00:00+00:00,9.062,9.076,8.949,8.966,388821.0
2023-07-13 04:00:00+00:00,8.966,9.062,8.933,9.018,593148.0
2023-07-13 08:00:00+00:00,9.018,9.177,9.0,9.164,1420868.0
2023-07-13 12:00:00+00:00,9.164,9.4,9.11,9.329,2419015.0
2023-07-13 16:00:00+00:00,9.329,9.755,9.325,9.735,4151484.0
2023-07-13 20:00:00+00:00,9.735,9.904,9.562,9.88,3098420.0
2023-07-14 00:00:00+00:00,9.88,10.212,9.858,10.204,4400962.0
2023-07-14 04:00:00+00:00,10.204,10.293,9.965,9.988,3180684.0
2023-07-14 08:00:00+00:00,9.988,10.144,9.946,10.02,2893160.0
2023-07-14 12:00:00+00:00,10.02,10.164,9.91,10.123,5315319.0
2023-07-14 16:00:00+00:00,10.123,10.172,9.435,9.51,7940372.0
2023-07-14 20:00:00+00:00,9.51,9.798,9.421,9.782,1456670.0
2023-07-15 00:00:00+00:00,9.782,9.786,9.637,9.663,1290231.0
2023-07-15 04:00:00+00:00,9.663,9.879,9.64,9.873,702395.0
2023-07-15 08:00:00+00:00,9.873,9.985,9.815,9.827,2371082.0
2023-07-15 12:00:00+00:00,9.827,9.858,9.693,9.748,1485885.0
2023-07-15 16:00:00+00:00,9.748,9.791,9.679,9.736,588976.0
2023-07-15 20:00:00+00:00,9.736,9.736,9.644,9.71,572289.0
2023-07-16 00:00:00+00:00,9.71,9.724,9.457,9.497,1345702.0
2023-07-16 04:00:00+00:00,9.497,9.549,9.477,9.527,1338488.0
2023-07-16 08:00:00+00:00,9.527,9.603,9.513,9.59,719116.0
2023-07-16 12:00:00+00:00,9.59,9.68,9.542,9.605,919552.0
2023-07-16 16:00:00+00:00,9.605,9.636,9.421,9.436,1468791.0
2023-07-16 20:00:00+00:00,9.436,9.51,9.327,9.389,1680836.0
2023-07-17 00:00:00+00:00,9.389,9.529,9.342,9.51,901977.0
2023-07-17 04:00:00+00:00,9.51,9.595,9.484,9.544,1185432.0
2023-07-17 08:00:00+00:00,9.544,9.602,9.224,9.344,1459756.0
2023-07-17 12:00:00+00:00,9.344,9.542,9.258,9.416,1762510.0
2023-07-17 16:00:00+00:00,9.416,9.482,9.152,9.296,1650683.0
2023-07-17 20:00:00+00:00,9.296,9.456,9.244,9.426,924346.0
2023-07-18 00:00:00+00:00,9.426,9.513,9.404,9.41,732387.0
2023-07-18 04:00:00+00:00,9.41,9.427,9.229,9.296,669439.0
2023-07-18 08:00:00+00:00,9.296,9.37,9.179,9.196,1273709.0
2023-07-18 12:00:00+00:00,9.196,9.281,9.147,9.233,1834695.0
2023-07-18 16:00:00+00:00,9.233,9.283,9.09,9.145,1407950.0
2023-07-18 20:00:00+00:00,9.145,9.287,9.142,9.286,442706.0
