ts,open,high,low,close,volume
2023-07-08 04:00:00+00:00,13.333,13.799,13.266,13.458,13359313.0
2023-07-08 08:00:00+00:00,13.458,13.755,13.452,13.542,10574707.0
2023-07-08 12:00:00+00:00,13.542,13.886,13.49,13.731,11458919.0
2023-07-08 16:00:00+00:00,13.731,13.85,13.527,13.542,9224414.0
2023-07-08 20:00:00+00:00,13.542,13.665,13.484,13.633,3399249.0
2023-07-09 00:00:00+00:00,13.633,14.145,13.581,14.062,10455028.0
2023-07-09 04:00:00+00:00,14.062,14.194,13.872,13.943,11670060.0
2023-07-09 08:00:00+00:00,13.943,14.183,13.912,14.089,9586528.0
2023-07-09 12:00:00+00:00,14.089,14.133,13.824,13.831,11506899.0
2023-07-09 16:00:00+00:00,13.831,13.864,13.673,13.738,6234544.0
2023-07-09 20:00:00+00:00,13.738,13.772,13.556,13.581,7129912.0
2023-07-10 00:00:00+00:00,13.581,13.583,13.22,13.288,13291132.0
2023-07-10 04:00:00+00:00,13.288,13.39,13.227,13.348,4599910.0
2023-07-10 08:00:00+00:00,13.348,13.366,13.161,13.349,3559379.0
2023-07-10 12:00:00+00:00,13.349,13.395,13.259,13.345,4468325.0
2023-07-10 16:00:00+00:00,13.345,13.756,13.262,13.729,5888779.0
2023-07-10 20:00:00+00:00,13.729,13.842,13.287,13.379,5309091.0
2023-07-11 00:00:00+00:00,13.379,13.683,13.365,13.632,3358983.0
2023-07-11 04:00:00+00:00,13.632,13.675,13.463,13.478,1830700.0
2023-07-11 08:00:00+00:00,13.478,13.51,13.322,13.347,1947669.0
2023-07-11 12:00:00+00:00,13.347,13.487,13.302,13.34,3948624.0
2023-07-11 16:00:00+00:00,13.34,13.349,13.171,13.25,4712005.0
2023-07-11 20:00:00+00:00,13.25,13.312,13.147,13.257,1999430.0
2023-07-12 00:00:00+00:00,13.257,13.294,13.139,13.157,2148376.0
2023-07-12 04:00:00+00:00,13.157,13.258,13.117,13.217,2304198.0
2023-07-12 08:00:00+00:00,13.217,13.279,13.151,13.256,1811146.0
2023-07-12 12:00:00+00:00,13.256,13.355,13.01,13.046,4224308.0
2023-07-12 16:00:00+00:00,13.046,13.09,12.84,12.924,4594903.0
2023-07-12 20:00:00+00:00,12.924,13.039,12.874,13.008,2656095.0
2023-07-13 00:00:00+00:00,13.008,13.026,12.881,12.943,1474175.0
2023-07-13 04:00:00+00:00,12.943,13.136,12.898,13.048,2339356.0
2023-07-13 08:00:00+00:00,13.048,13.231,13.044,13.218,3002514.0
2023-07-13 12:00:00+00:00,13.218,13.709,13.115,13.655,3612254.0
2023-07-13 16:00:00+00:00,13.655,14.205,13.655,14.087,10025043.0
2023-07-13 20:00:00+00:00,14.087,14.128,13.765,14.116,2712985.0
2023-07-14 00:00:00+00:00,14.116,14.81,14.104,14.766,6888792.0
2023-07-14 04:00:00+00:00,14.766,15.796,14.648,15.317,15159693.0
2023-07-14 08:00:00+00:00,15.317,15.988,15.08,15.448,14860296.0
2023-07-14 12:00:00+00:00,15.448,15.884,15.124,15.592,8556390.0
2023-07-14 16:00:00+00:00,15.592,15.78,14.032,14.309,10177358.0
2023-07-14 20:00:00+00:00,14.309,14.652,14.108,14.64,2617554.0
2023-07-15 00:00:00+00:00,14.64,14.73,14.409,14.441,3029848.0
2023-07-15 04:00:00+00:00,14.441,14.98,14.429,14.919,2781775.0
2023-07-15 08:00:00+00:00,14.919,15.035,14.779,15.018,3530230.0
2023-07-15 12:00:00+00:00,15.018,15.349,14.879,15.124,6037467.0
2023-07-15 16:00:00+00:00,15.124,15.189,14.961,15.06,4875460.0
2023-07-15 20:00:00+00:00,15.06,15.065,14.678,14.846,4665209.0
2023-07-16 00:00:00+00:00,14.846,14.935,14.435,14.535,4497804.0
2023-07-16 04:00:00+00:00,14.535,14.707,14.53,14.638,2855528.0
2023-07-16 08:00:00+00:00,14.638,14.726,14.407,14.532,2929056.0
2023-07-16 12:00:00+00:00,14.532,14.834,14.519,14.598,3382297.0
2023-07-16 16:00:00+00:00,14.598,14.6,14.25,14.287,4386011.0
2023-07-16 20:00:00+00:00,14.287,14.434,14.148,14.283,3518076.0
2023-07-17 00:00:00+00:00,14.283,14.478,14.19,14.437,1500334.0
2023-07-17 04:00:00+00:00,14.437,14.568,14.37,14.534,2110286.0
2023-07-17 08:00:00+00:00,14.534,14.617,13.819,14.139,3491722.0
2023-07-17 12:00:00+00:00,14.139,14.409,13.935,14.252,3410190.0
2023-07-17 16:00:00+00:00,14.252,14.353,13.886,14.143,4065112.0
2023-07-17 20:00:00+00:00,14.143,14.444,14.014,14.392,3780983.0
2023-07-18 00:00:00+00:00,14.392,14.579,14.334,14.348,2208254.0
2023-07-18 04:00:00+00:00,14.348,14.387,13.908,13.996,2623344.0
2023-07-18 08:00:00+00:00,13.996,14.108,13.807,13.839,3993126.0
2023-07-18 12:00:00+00:00,13.839,14.002,13.731,13.934,4690884.0
2023-07-18 16:00:00+00:00,13.934,14.01,13.58,13.758,5074717.0
2023-07-18 20:00:00+00:00,13.758,13.825,13.654,13.801,2221433.0
2023-07-19 00:00:00+00:00,13.801,14.093,13.752,14.023,2983555.0
2023-07-19 04:00:00+00:00,14.023,14.104,13.929,13.988,3881275.0
2023-07-19 08:00:00+00:00,13.988,14.009,13.78,14.003,2455837.0
2023-07-19 12:00:00+00:00,14.003,14.092,13.775,13.949,5861652.0
2023-07-19 16:00:00+00:00,13.949,14.266,13.86,14.186,3999035.0
2023-07-19 20:00:00+00:00,14.186,14.195,13.918,13.987,3685564.0
2023-07-20 00:00:00+00:00,13.987,14.158,13.927,14.05,3140388.0
2023-07-20 04:00:00+00:00,14.05,14.283,14.028,14.268,3289349.0
2023-07-20 08:00:00+00:00,14.268,14.42,14.24,14.245,4576299.0
2023-07-20 12:00:00+00:00,14.245,14.275,13.68,13.816,5386451.0
2023-07-20 16:00:00+00:00,13.816,13.876,13.663,13.848,3884815.0
2023-07-20 20:00:00+00:00,13.848,13.912,13.697,13.861,2415263.0
2023-07-21 00:00:00+00:00,13.861,14.015,13.716,13.97,3787036.0
2023-07-21 04:00:00+00:00,13.97,13.99,13.836,13.883,2562824.0
2023-07-21 08:00:00+00:00,13.883,13.987,13.839,13.884,1611122.0
2023-07-21 12:00:00+00:00,13.884,14.046,13.884,13.936,3583077.0
2023-07-21 16:00:00+00:00,13.936,14.064,13.837,13.953,2414351.0
2023-07-21 20:00:00+00:00,13.953,14.014,13.882,13.975,2184545.0
2023-07-22 00:00:00+00:00,13.975,14.055,13.926,13.963,2551382.0
2023-07-22 04:00:00+00:00,13.963,14.0,13.882,13.93,1531011.0
2023-07-22 08:00:00+00:00,13.93,13.937,13.566,13.747,2851995.0
2023-07-22 12:00:00+00:00,13.747,13.786,13.708,13.779,3215228.0
2023-07-22 16:00:00+00:00,13.779,13.786,13.642,13.693,2937431.0
2023-07-22 20:00:00+00:00,13.693,13.712,13.281,13.514,3757522.0
2023-07-23 00:00:00+00:00,13.514,13.59,13.385,13.561,2599089.0
2023-07-23 04:00:00+00:00,13.561,13.665,13.544,13.57,1792940.0
2023-07-23 08:00:00+00:00,13.57,13.607,13.534,13.567,1296474.0
2023-07-23 12:00:00+00:00,13.567,13.582,13.506,13.531,1644127.0
2023-07-23 16:00:00+00:00,13.531,13.746,13.528,13.607,2636799.0
2023-07-23 20:00:00+00:00,13.607,13.656,13.466,13.532,2441001.0
2023-07-24 00:00:00+00:00,13.532,13.594,13.294,13.328,1880125.0
2023-07-24 04:00:00+00:00,13.328,13.481,13.211,13.44,1947029.0
2023-07-24 08:00:00+00:00,13.44,13.492,12.725,13.104,11117929.0
2023-07-24 12:00:00+00:00,13.104,13.137,12.873,12.942,2970180.0
2023-07-24 16:00:00+00:00,12.942,13.098,12.897,13.04,2282244.0
2023-07-24 20:00:00+00:00,13.04,13.122,13.01,13.099,1420746.0
