ts,open,high,low,close,volume
2023-07-08 04:00:00+00:00,235.08,236.1,234.75,235.83,899338.0
2023-07-08 08:00:00+00:00,235.83,237.37,235.62,236.2,1466214.0
2023-07-08 12:00:00+00:00,236.2,236.88,235.66,236.51,731136.0
2023-07-08 16:00:00+00:00,236.51,236.95,233.8,234.77,1500602.0
2023-07-08 20:00:00+00:00,234.77,236.23,234.35,236.13,841192.0
2023-07-09 00:00:00+00:00,236.13,236.99,235.53,236.04,663003.0
2023-07-09 04:00:00+00:00,236.04,236.24,234.19,234.45,759452.0
2023-07-09 08:00:00+00:00,234.45,234.98,234.25,234.7,1125829.0
2023-07-09 12:00:00+00:00,234.7,235.37,232.87,234.17,2372898.0
2023-07-09 16:00:00+00:00,234.17,234.93,233.83,234.67,1280006.0
2023-07-09 20:00:00+00:00,234.67,234.81,233.37,233.92,1993752.0
2023-07-10 00:00:00+00:00,233.92,234.48,231.01,233.43,2663175.0
2023-07-10 04:00:00+00:00,233.43,234.0,232.2,232.5,895602.0
2023-07-10 08:00:00+00:00,232.5,244.18,231.15,241.95,10816885.0
2023-07-10 12:00:00+00:00,241.95,245.96,240.84,245.56,8798166.0
2023-07-10 16:00:00+00:00,245.56,245.99,243.87,245.83,6682044.0
2023-07-10 20:00:00+00:00,245.83,246.3,242.23,245.98,6324058.0
2023-07-11 00:00:00+00:00,245.98,247.7,244.21,246.57,6221430.0
2023-07-11 04:00:00+00:00,246.57,247.51,245.56,246.85,3320055.0
2023-07-11 08:00:00+00:00,246.85,248.63,245.0,245.3,6848696.0
2023-07-11 12:00:00+00:00,245.3,247.3,245.01,247.08,5857288.0
2023-07-11 16:00:00+00:00,247.08,248.35,246.41,247.12,4692209.0
2023-07-11 20:00:00+00:00,247.12,249.44,246.8,248.34,3313156.0
2023-07-12 00:00:00+00:00,248.34,250.07,248.01,249.25,5270407.0
2023-07-12 04:00:00+00:00,249.25,249.71,248.62,249.14,3175985.0
2023-07-12 08:00:00+00:00,249.14,249.4,247.18,247.92,4853680.0
2023-07-12 12:00:00+00:00,247.92,248.78,243.13,243.95,5514768.0
2023-07-12 16:00:00+00:00,243.95,244.2,242.18,243.03,4158387.0
2023-07-12 20:00:00+00:00,243.03,244.13,242.8,243.68,1857282.0
2023-07-13 00:00:00+00:00,243.68,244.19,242.42,243.04,2856132.0
2023-07-13 04:00:00+00:00,243.04,244.95,242.44,243.97,2167045.0
2023-07-13 08:00:00+00:00,243.97,246.44,243.9,245.74,1861769.0
2023-07-13 12:00:00+00:00,245.74,254.0,244.11,251.12,5588110.0
2023-07-13 16:00:00+00:00,251.12,259.0,250.25,253.83,5604868.0
2023-07-13 20:00:00+00:00,253.83,256.49,250.44,255.98,1884150.0
2023-07-14 00:00:00+00:00,255.98,260.36,255.39,259.84,2955801.0
2023-07-14 04:00:00+00:00,259.84,261.38,255.19,255.5,2067875.0
2023-07-14 08:00:00+00:00,255.5,257.8,253.34,255.04,1703785.0
2023-07-14 12:00:00+00:00,255.04,256.89,252.56,256.37,2078979.0
2023-07-14 16:00:00+00:00,256.37,257.02,242.18,244.3,4401806.0
2023-07-14 20:00:00+00:00,244.3,248.13,243.34,247.92,2071621.0
2023-07-15 00:00:00+00:00,247.92,249.04,246.55,248.1,1376623.0
2023-07-15 04:00:00+00:00,248.1,250.15,247.68,249.86,1562471.0
2023-07-15 08:00:00+00:00,249.86,252.0,249.2,250.57,2941184.0
2023-07-15 12:00:00+00:00,250.57,251.1,248.79,250.17,1514169.0
2023-07-15 16:00:00+00:00,250.17,251.74,249.07,251.63,1213225.0
2023-07-15 20:00:00+00:00,251.63,251.63,249.63,250.79,1247502.0
2023-07-16 00:00:00+00:00,250.79,251.7,247.55,247.87,2104984.0
2023-07-16 04:00:00+00:00,247.87,248.86,247.31,248.37,1379145.0
2023-07-16 08:00:00+00:00,248.37,249.99,248.3,249.69,1506178.0
2023-07-16 12:00:00+00:00,249.69,249.92,247.85,248.57,1662615.0
2023-07-16 16:00:00+00:00,248.57,248.77,243.07,243.45,4341104.0
2023-07-16 20:00:00+00:00,243.45,244.77,241.12,241.9,3252846.0
2023-07-17 00:00:00+00:00,241.9,243.71,240.05,243.47,4449079.0
2023-07-17 04:00:00+00:00,243.47,243.52,241.56,242.74,2508678.0
2023-07-17 08:00:00+00:00,242.74,243.87,238.32,242.66,5025574.0
2023-07-17 12:00:00+00:00,242.66,244.77,241.98,243.6,4451622.0
2023-07-17 16:00:00+00:00,243.6,244.14,239.89,242.47,3659683.0
2023-07-17 20:00:00+00:00,242.47,244.77,241.87,244.0,1967176.0
2023-07-18 00:00:00+00:00,244.0,246.44,243.87,244.17,1998215.0
2023-07-18 04:00:00+00:00,244.17,244.94,240.59,241.44,7138948.0
2023-07-18 08:00:00+00:00,241.44,242.73,239.62,239.63,4032071.0
2023-07-18 12:00:00+00:00,239.63,241.44,238.4,240.35,5188294.0
2023-07-18 16:00:00+00:00,240.35,241.45,237.21,240.25,3611925.0
2023-07-18 20:00:00+00:00,240.25,240.84,239.23,240.47,3039015.0
2023-07-19 00:00:00+00:00,240.47,243.77,239.85,243.6,1594698.0
2023-07-19 04:00:00+00:00,243.6,244.3,242.08,242.69,2768620.0
2023-07-19 08:00:00+00:00,242.69,242.78,240.66,242.3,2936736.0
2023-07-19 12:00:00+00:00,242.3,243.25,240.16,241.18,3059280.0
2023-07-19 16:00:00+00:00,241.18,243.0,240.1,241.98,1988742.0
2023-07-19 20:00:00+00:00,241.98,242.26,240.27,241.06,2324260.0
2023-07-20 00:00:00+00:00,241.06,243.06,240.81,241.57,1527329.0
2023-07-20 04:00:00+00:00,241.57,244.28,241.33,244.04,1389277.0
2023-07-20 08:00:00+00:00,244.04,245.24,243.73,244.23,2960047.0
2023-07-20 12:00:00+00:00,244.23,244.7,240.89,241.82,2897197.0
2023-07-20 16:00:00+00:00,241.82,242.35,240.49,241.64,2349511.0
2023-07-20 20:00:00+00:00,241.64,243.55,240.75,242.94,2102510.0
2023-07-21 00:00:00+00:00,242.94,244.94,242.24,244.18,1500323.0
2023-07-21 04:00:00+00:00,244.18,244.47,242.9,243.58,786242.0
2023-07-21 08:00:00+00:00,243.58,245.11,243.53,244.67,2846278.0
2023-07-21 12:00:00+00:00,244.67,245.53,244.17,244.2,2384455.0
2023-07-21 16:00:00+00:00,244.2,245.11,242.81,243.79,1121495.0
2023-07-21 20:00:00+00:00,243.79,244.32,243.43,243.88,501723.0
2023-07-22 00:00:00+00:00,243.88,245.06,243.65,244.62,727216.0
2023-07-22 04:00:00+00:00,244.62,244.97,243.3,243.85,583539.0
2023-07-22 08:00:00+00:00,243.85,244.19,242.05,242.86,974466.0
2023-07-22 12:00:00+00:00,242.86,243.07,242.13,242.91,572755.0
2023-07-22 16:00:00+00:00,242.91,243.06,241.75,242.52,848731.0
2023-07-22 20:00:00+00:00,242.52,242.6,240.2,241.25,1145042.0
2023-07-23 00:00:00+00:00,241.25,242.36,240.56,241.97,599613.0
2023-07-23 04:00:00+00:00,241.97,242.87,241.97,242.65,548745.0
2023-07-23 08:00:00+00:00,242.65,243.2,242.1,242.24,611118.0
2023-07-23 12:00:00+00:00,242.24,242.8,242.21,242.33,699450.0
2023-07-23 16:00:00+00:00,242.33,244.13,241.98,242.65,1260283.0
2023-07-23 20:00:00+00:00,242.65,243.2,241.71,242.54,780156.0
2023-07-24 00:00:00+00:00,242.54,243.26,240.66,240.86,1132495.0
2023-07-24 04:00:00+00:00,240.86,242.22,239.23,242.06,1313141.0
2023-07-24 08:00:00+00:00,242.06,242.19,236.15,238.73,11249227.0
2023-07-24 12:00:00+00:00,238.73,239.07,235.17,237.11,2766920.0
2023-07-24 16:00:00+00:00,237.11,238.6,236.08,238.01,1614918.0
2023-07-24 20:00:00+00:00,238.01,239.3,237.66,239.1,1401826.0
2023-07-25 00:00:00+00:00,239.1,239.98,238.17,238.65,1182466.0
2023-07-25 04:00:00+00:00,238.65,238.67,236.92,237.33,1354433.0
2023-07-25 08:00:00+00:00,237.33,238.99,237.18,238.14,1558962.0
2023-07-25 12:00:00+00:00,238.14,238.41,236.2,237.4,2881143.0
2023-07-25 16:00:00+00:00,237.4,238.56,236.89,237.31,1542364.0
2023-07-25 20:00:00+00:00,237.31,238.11,236.95,237.85,1020724.0
2023-07-26 00:00:00+00:00,237.85,238.87,236.51,238.48,808175.0
2023-07-26 04:00:00+00:00,238.48,238.8,237.55,237.75,1215774.0
2023-07-26 08:00:00+00:00,237.75,238.16,236.69,237.05,1549770.0
2023-07-26 12:00:00+00:00,237.05,238.72,236.75,238.27,1481408.0
2023-07-26 16:00:00+00:00,238.27,239.37,236.7,239.03,4444389.0
2023-07-26 20:00:00+00:00,239.03,240.61,238.35,239.05,3436870.0
2023-07-27 00:00:00+00:00,239.05,240.47,238.29,239.96,1428409.0
2023-07-27 04:00:00+00:00,239.96,244.82,239.96,242.31,2033218.0
2023-07-27 08:00:00+00:00,242.31,243.18,241.41,242.11,1272629.0
2023-07-27 12:00:00+00:00,242.11,242.13,240.47,240.75,1192669.0
2023-07-27 16:00:00+00:00,240.75,241.42,239.48,240.2,1657343.0
2023-07-27 20:00:00+00:00,240.2,240.94,240.13,240.88,816362.0
2023-07-28 00:00:00+00:00,240.88,241.36,240.15,240.97,924396.0
2023-07-28 04:00:00+00:00,240.97,241.3,239.85,241.04,791381.0
2023-07-28 08:00:00+00:00,241.04,242.18,240.58,241.08,1390031.0
2023-07-28 12:00:00+00:00,241.08,242.89,241.08,241.78,2501865.0
2023-07-28 16:00:00+00:00,241.78,243.11,241.11,242.77,1445642.0
2023-07-28 20:00:00+00:00,242.77,242.97,241.87,241.94,652687.0
2023-07-29 00:00:00+00:00,241.94,242.6,241.72,241.95,366579.0
2023-07-29 04:00:00+00:00,241.95,242.35,241.49,241.62,618508.0
2023-07-29 08:00:00+00:00,241.62,241.96,241.22,241.57,1017429.0
2023-07-29 12:00:00+00:00,241.57,242.28,241.53,241.93,685287.0
2023-07-29 16:00:00+00:00,241.93,242.47,241.75,242.24,687140.0
2023-07-29 20:00:00+00:00,242.24,243.07,242.12,242.64,580859.0
2023-07-30 00:00:00+00:00,242.64,243.03,242.16,242.48,596924.0
2023-07-30 04:00:00+00:00,242.48,242.91,241.8,242.87,655952.0
2023-07-30 08:00:00+00:00,242.87,243.18,242.18,242.39,999090.0
2023-07-30 12:00:00+00:00,242.39,244.02,242.21,243.11,1908682.0
2023-07-30 16:00:00+00:00,243.11,244.0,241.33,241.71,1398070.0
2023-07-30 20:00:00+00:00,241.71,242.91,240.44,242.71,1247961.0
2023-07-31 00:00:00+00:00,242.71,244.71,242.39,243.75,1229549.0
2023-07-31 04:00:00+00:00,243.75,244.06,242.86,243.5,2044522.0
2023-07-31 08:00:00+00:00,243.5,244.25,243.3,243.5,1691132.0
2023-07-31 12:00:00+00:00,243.5,244.24,241.83,242.24,2014736.0
2023-07-31 16:00:00+00:00,242.24,242.92,240.82,241.39,2023838.0
2023-07-31 20:00:00+00:00,241.39,241.81,240.58,241.05,2972323.0
2023-08-01 00:00:00+00:00,241.05,242.3,237.08,239.38,2160348.0
2023-08-01 04:00:00+00:00,239.38,247.31,238.8,245.48,6886088.0
2023-08-01 08:00:00+00:00,245.48,246.79,244.44,244.76,4971671.0
2023-08-01 12:00:00+00:00,244.76,245.91,242.38,245.28,3608074.0
2023-08-01 16:00:00+00:00,245.28,247.08,244.5,247.01,2655874.0
2023-08-01 20:00:00+00:00,247.01,248.01,245.45,247.88,1890788.0
2023-08-02 00:00:00+00:00,247.88,248.81,245.38,245.79,2253242.0
2023-08-02 04:00:00+00:00,245.79,246.16,244.4,244.72,1608378.0
2023-08-02 08:00:00+00:00,244.72,245.95,244.49,245.89,1226994.0
2023-08-02 12:00:00+00:00,245.89,246.21,242.29,243.22,2345410.0
2023-08-02 16:00:00+00:00,243.22,243.88,235.02,241.58,9198745.0
2023-08-02 20:00:00+00:00,241.58,242.26,240.43,240.63,1576823.0
2023-08-03 00:00:00+00:00,240.63,241.36,239.8,240.39,2412961.0
2023-08-03 04:00:00+00:00,240.39,241.21,239.21,239.21,2101752.0
2023-08-03 08:00:00+00:00,239.21,240.82,238.29,240.76,1948089.0
2023-08-03 12:00:00+00:00,240.76,241.97,240.1,241.32,2426378.0
2023-08-03 16:00:00+00:00,241.32,241.9,240.52,241.15,1930414.0
2023-08-03 20:00:00+00:00,241.15,241.71,240.01,241.01,1850144.0
2023-08-04 00:00:00+00:00,241.01,241.85,240.8,241.56,1955092.0
2023-08-04 04:00:00+00:00,241.56,243.47,241.05,242.09,2942062.0
2023-08-04 08:00:00+00:00,242.09,242.67,241.41,241.84,1572476.0
2023-08-04 12:00:00+00:00,241.84,243.39,241.68,243.18,1928070.0
2023-08-04 16:00:00+00:00,243.18,243.4,240.75,241.49,2301558.0
2023-08-04 20:00:00+00:00,241.49,241.96,240.14,241.72,1123262.0
2023-08-05 00:00:00+00:00,241.72,242.24,239.98,241.0,1046964.0
2023-08-05 04:00:00+00:00,241.0,241.62,240.4,241.17,858726.0
2023-08-05 08:00:00+00:00,241.17,242.13,241.11,241.53,1008141.0
2023-08-05 12:00:00+00:00,241.53,242.23,241.21,242.2,979734.0
2023-08-05 16:00:00+00:00,242.2,242.97,241.85,242.81,1505966.0
2023-08-05 20:00:00+00:00,242.81,243.37,242.78,243.33,1608865.0
2023-08-06 00:00:00+00:00,243.33,245.34,243.25,244.89,2668923.0
2023-08-06 04:00:00+00:00,244.89,245.25,244.23,245.17,1192288.0
2023-08-06 08:00:00+00:00,245.17,245.59,244.16,244.45,1357819.0
2023-08-06 12:00:00+00:00,244.45,244.7,243.1,243.16,1550796.0
2023-08-06 16:00:00+00:00,243.16,244.62,243.05,243.36,936972.0
2023-08-06 20:00:00+00:00,243.36,244.04,242.77,243.26,711783.0
2023-08-07 00:00:00+00:00,243.26,245.06,242.86,243.72,1210906.0
2023-08-07 04:00:00+00:00,243.72,244.41,242.44,242.76,820715.0
2023-08-07 08:00:00+00:00,242.76,243.2,241.42,242.56,1335313.0
2023-08-07 12:00:00+00:00,242.56,242.71,240.67,240.93,2236225.0
2023-08-07 16:00:00+00:00,240.93,242.0,239.45,241.71,1851468.0
2023-08-07 20:00:00+00:00,241.71,242.07,241.31,241.98,1016251.0
2023-08-08 00:00:00+00:00,241.98,242.47,241.38,242.37,524154.0
2023-08-08 04:00:00+00:00,242.37,243.9,242.13,242.79,724899.0
2023-08-08 08:00:00+00:00,242.79,243.98,242.63,243.87,852961.0
2023-08-08 12:00:00+00:00,243.87,245.27,243.02,244.84,2116684.0
2023-08-08 16:00:00+00:00,244.84,248.53,244.64,246.51,2987668.0
2023-08-08 20:00:00+00:00,246.51,247.35,245.14,245.24,680716.0
2023-08-09 00:00:00+00:00,245.24,245.58,244.01,244.45,1467439.0
2023-08-09 04:00:00+00:00,244.45,245.12,244.09,245.01,566727.0
2023-08-09 08:00:00+00:00,245.01,245.45,243.45,244.15,1250561.0
2023-08-09 12:00:00+00:00,244.15,245.41,243.5,243.91,1312026.0
2023-08-09 16:00:00+00:00,243.91,243.92,242.71,242.98,1501181.0
2023-08-09 20:00:00+00:00,242.98,244.2,242.75,243.9,613125.0
2023-08-10 00:00:00+00:00,243.9,243.98,243.01,243.11,663687.0
2023-08-10 04:00:00+00:00,243.11,243.46,241.68,241.97,815757.0
2023-08-10 08:00:00+00:00,241.97,242.38,241.64,241.87,1516887.0
2023-08-10 12:00:00+00:00,241.87,243.41,241.65,242.0,1257855.0
2023-08-10 16:00:00+00:00,242.0,242.36,240.34,240.8,1499541.0
2023-08-10 20:00:00+00:00,240.8,241.39,240.6,241.32,675193.0
2023-08-11 00:00:00+00:00,241.32,242.0,239.41,240.41,1516295.0
2023-08-11 04:00:00+00:00,240.41,240.84,240.15,240.53,1094198.0
2023-08-11 08:00:00+00:00,240.53,240.82,240.03,240.79,716837.0
2023-08-11 12:00:00+00:00,240.79,241.06,238.15,238.68,2776915.0
2023-08-11 16:00:00+00:00,238.68,239.42,237.96,238.96,2017902.0
2023-08-11 20:00:00+00:00,238.96,240.66,238.67,239.75,903543.0
2023-08-12 00:00:00+00:00,239.75,240.56,239.33,240.2,1085682.0
2023-08-12 04:00:00+00:00,240.2,240.55,239.61,240.41,1002182.0
2023-08-12 08:00:00+00:00,240.41,241.15,240.0,240.65,1199744.0
2023-08-12 12:00:00+00:00,240.65,241.02,240.34,240.45,787910.0
2023-08-12 16:00:00+00:00,240.45,240.8,240.23,240.3,519926.0
2023-08-12 20:00:00+00:00,240.3,240.62,239.71,240.18,691921.0
2023-08-13 00:00:00+00:00,240.18,240.48,239.77,240.13,312326.0
2023-08-13 04:00:00+00:00,240.13,240.4,239.88,240.23,591692.0
2023-08-13 08:00:00+00:00,240.23,240.86,240.06,240.62,796036.0
2023-08-13 12:00:00+00:00,240.62,240.72,240.02,240.26,897182.0
2023-08-13 16:00:00+00:00,240.26,241.55,240.08,241.44,1323863.0
2023-08-13 20:00:00+00:00,241.44,241.75,239.58,239.93,1083844.0
2023-08-14 00:00:00+00:00,239.93,241.0,239.5,240.77,916001.0
2023-08-14 04:00:00+00:00,240.77,241.27,240.35,240.46,450537.0
2023-08-14 08:00:00+00:00,240.46,240.92,240.18,240.41,704582.0
2023-08-14 12:00:00+00:00,240.41,241.31,240.07,240.82,1283876.0
2023-08-14 16:00:00+00:00,240.82,241.19,239.7,240.05,779600.0
2023-08-14 20:00:00+00:00,240.05,240.67,239.93,240.34,526074.0
2023-08-15 00:00:00+00:00,240.34,240.66,239.53,239.69,603781.0
2023-08-15 04:00:00+00:00,239.69,239.81,238.78,239.41,1258916.0
2023-08-15 08:00:00+00:00,239.41,239.88,238.18,238.62,1061160.0
2023-08-15 12:00:00+00:00,238.62,239.62,238.41,238.91,1332377.0
2023-08-15 16:00:00+00:00,238.91,239.3,232.75,236.02,14344873.0
2023-08-15 20:00:00+00:00,236.02,238.31,235.38,236.74,2267175.0
2023-08-16 00:00:00+00:00,236.74,237.29,236.22,236.32,1468282.0
2023-08-16 04:00:00+00:00,236.32,236.65,234.29,234.68,1406623.0
2023-08-16 08:00:00+00:00,234.68,234.81,233.16,234.59,2285422.0
2023-08-16 12:00:00+00:00,234.59,234.76,232.17,233.1,4184938.0
2023-08-16 16:00:00+00:00,233.1,235.21,232.7,233.99,2905234.0
2023-08-16 20:00:00+00:00,233.99,234.34,230.2,231.94,3813744.0
2023-08-17 00:00:00+00:00,231.94,232.32,227.31,231.04,2485664.0
2023-08-17 04:00:00+00:00,231.04,231.84,230.52,231.03,1682398.0
2023-08-17 08:00:00+00:00,231.03,231.23,230.05,230.65,2073760.0
2023-08-17 12:00:00+00:00,230.65,231.62,223.95,224.98,3966558.0
2023-08-17 16:00:00+00:00,224.98,226.65,223.02,226.27,4875778.0
2023-08-17 20:00:00+00:00,226.27,226.53,206.12,217.87,47466305.0
2023-08-18 00:00:00+00:00,217.87,220.22,213.27,215.17,7029623.0
2023-08-18 04:00:00+00:00,215.17,219.5,214.2,219.18,7914818.0
2023-08-18 08:00:00+00:00,219.18,219.67,217.33,219.39,3674291.0
2023-08-18 12:00:00+00:00,219.39,219.58,216.05,216.73,4459228.0
2023-08-18 16:00:00+00:00,216.73,217.81,214.85,216.06,7156259.0
2023-08-18 20:00:00+00:00,216.06,217.18,215.54,215.98,5291793.0
2023-08-19 00:00:00+00:00,215.98,217.05,214.84,215.4,2492235.0
2023-08-19 04:00:00+00:00,215.4,215.84,213.27,215.76,2362740.0
2023-08-19 08:00:00+00:00,215.76,216.37,215.09,215.12,1774292.0
2023-08-19 12:00:00+00:00,215.12,217.51,214.45,217.28,5837093.0
2023-08-19 16:00:00+00:00,217.28,219.1,216.54,216.71,3120589.0
2023-08-19 20:00:00+00:00,216.71,217.17,215.6,216.79,968824.0
2023-08-20 00:00:00+00:00,216.79,217.49,216.28,216.46,560829.0
2023-08-20 04:00:00+00:00,216.46,216.68,215.24,215.83,1360433.0
2023-08-20 08:00:00+00:00,215.83,216.91,215.51,216.65,1049826.0
2023-08-20 12:00:00+00:00,216.65,216.93,215.26,216.1,1419862.0
2023-08-20 16:00:00+00:00,216.1,217.06,215.34,216.94,2365275.0
2023-08-20 20:00:00+00:00,216.94,218.0,216.22,216.41,1655624.0
2023-08-21 00:00:00+00:00,216.41,216.67,215.76,215.87,2731596.0
2023-08-21 04:00:00+00:00,215.87,216.7,213.55,214.45,2535710.0
2023-08-21 08:00:00+00:00,214.45,215.07,207.43,210.35,5981278.0
2023-08-21 12:00:00+00:00,210.35,213.82,205.36,208.25,12277888.0
2023-08-21 16:00:00+00:00,208.25,211.66,207.16,210.62,8233017.0
2023-08-21 20:00:00+00:00,210.62,212.13,210.0,210.22,3331591.0
2023-08-22 00:00:00+00:00,210.22,210.69,209.48,209.9,3494235.0
2023-08-22 04:00:00+00:00,209.9,209.97,208.04,209.71,4266066.0
2023-08-22 08:00:00+00:00,209.71,210.78,208.5,208.87,4656818.0
2023-08-22 12:00:00+00:00,208.87,209.84,203.17,205.33,13303504.0
2023-08-22 16:00:00+00:00,205.33,210.86,202.71,207.99,21137383.0
2023-08-22 20:00:00+00:00,207.99,213.0,204.25,210.81,13798146.0
2023-08-23 00:00:00+00:00,210.81,215.58,210.64,212.43,6735912.0
2023-08-23 04:00:00+00:00,212.43,216.59,212.26,216.2,6742858.0
2023-08-23 08:00:00+00:00,216.2,216.56,214.09,214.65,3515852.0
2023-08-23 12:00:00+00:00,214.65,215.6,212.37,215.3,10152167.0
2023-08-23 16:00:00+00:00,215.3,218.8,214.94,217.68,10689769.0
2023-08-23 20:00:00+00:00,217.68,218.0,214.56,216.53,5688314.0
2023-08-24 00:00:00+00:00,216.53,217.24,215.47,217.17,4307356.0
2023-08-24 04:00:00+00:00,217.17,221.44,216.6,219.33,5286863.0
2023-08-24 08:00:00+00:00,219.33,220.61,218.59,219.51,4937356.0
2023-08-24 12:00:00+00:00,219.51,220.09,216.4,216.58,5763106.0
2023-08-24 16:00:00+00:00,216.58,218.83,216.39,216.89,3395009.0
2023-08-24 20:00:00+00:00,216.89,219.37,215.42,219.03,3648765.0
2023-08-25 00:00:00+00:00,219.03,219.6,215.83,217.04,4006893.0
2023-08-25 04:00:00+00:00,217.04,217.11,213.45,215.11,7252075.0
2023-08-25 08:00:00+00:00,215.11,216.68,215.05,216.17,2830739.0
2023-08-25 12:00:00+00:00,216.17,218.8,215.04,216.77,7859901.0
2023-08-25 16:00:00+00:00,216.77,218.34,216.3,217.27,4141118.0
