ts,open,high,low,close,volume
2023-07-08 04:00:00+00:00,5.134,5.163,5.109,5.142,2538412.0
2023-07-08 08:00:00+00:00,5.142,5.193,5.134,5.163,2209869.0
2023-07-08 12:00:00+00:00,5.163,5.185,5.142,5.149,735326.0
2023-07-08 16:00:00+00:00,5.149,5.17,5.062,5.064,730291.0
2023-07-08 20:00:00+00:00,5.064,5.126,5.05,5.125,1221715.0
2023-07-09 00:00:00+00:00,5.125,5.158,5.111,5.143,1025961.0
2023-07-09 04:00:00+00:00,5.143,5.146,5.089,5.112,299283.0
2023-07-09 08:00:00+00:00,5.112,5.12,5.089,5.101,1988129.0
2023-07-09 12:00:00+00:00,5.101,5.123,5.059,5.088,990233.0
2023-07-09 16:00:00+00:00,5.088,5.102,5.059,5.082,1155596.0
2023-07-09 20:00:00+00:00,5.082,5.106,5.055,5.077,2133969.0
2023-07-10 00:00:00+00:00,5.077,5.079,4.975,5.028,1116434.0
2023-07-10 04:00:00+00:00,5.028,5.057,5.014,5.057,939813.0
2023-07-10 08:00:00+00:00,5.057,5.091,4.999,5.089,2268367.0
2023-07-10 12:00:00+00:00,5.089,5.122,5.054,5.107,1741693.0
2023-07-10 16:00:00+00:00,5.107,5.202,5.08,5.191,5167849.0
2023-07-10 20:00:00+00:00,5.191,5.228,5.094,5.128,2605214.0
2023-07-11 00:00:00+00:00,5.128,5.149,5.085,5.123,2121962.0
2023-07-11 04:00:00+00:00,5.123,5.176,5.119,5.143,1943489.0
2023-07-11 08:00:00+00:00,5.143,5.154,5.087,5.119,1696881.0
2023-07-11 12:00:00+00:00,5.119,5.173,5.105,5.147,3815783.0
2023-07-11 16:00:00+00:00,5.147,5.171,5.123,5.163,998864.0
2023-07-11 20:00:00+00:00,5.163,5.213,5.161,5.21,1069275.0
2023-07-12 00:00:00+00:00,5.21,5.307,5.201,5.248,4488454.0
2023-07-12 04:00:00+00:00,5.248,5.263,5.224,5.249,2131990.0
2023-07-12 08:00:00+00:00,5.249,5.265,5.232,5.239,2040246.0
2023-07-12 12:00:00+00:00,5.239,5.284,5.166,5.176,2082460.0
2023-07-12 16:00:00+00:00,5.176,5.196,5.105,5.112,1747789.0
2023-07-12 20:00:00+00:00,5.112,5.152,5.095,5.144,776309.0
2023-07-13 00:00:00+00:00,5.144,5.16,5.097,5.111,1773625.0
2023-07-13 04:00:00+00:00,5.111,5.182,5.092,5.159,1059194.0
2023-07-13 08:00:00+00:00,5.159,5.263,5.152,5.251,3710433.0
