ts,open,high,low,close,volume
2023-07-08 04:00:00+00:00,1.346,1.349,1.332,1.338,534098.0
2023-07-08 08:00:00+00:00,1.338,1.397,1.336,1.373,1652126.0
2023-07-08 12:00:00+00:00,1.373,1.394,1.369,1.38,1820264.0
2023-07-08 16:00:00+00:00,1.38,1.395,1.367,1.371,691700.0
2023-07-08 20:00:00+00:00,1.371,1.385,1.36,1.381,450499.0
2023-07-09 00:00:00+00:00,1.381,1.391,1.372,1.373,395613.0
2023-07-09 04:00:00+00:00,1.373,1.375,1.343,1.346,337658.0
2023-07-09 08:00:00+00:00,1.346,1.355,1.329,1.333,1890689.0
2023-07-09 12:00:00+00:00,1.333,1.343,1.325,1.339,1219787.0
2023-07-09 16:00:00+00:00,1.339,1.339,1.329,1.334,242362.0
2023-07-09 20:00:00+00:00,1.334,1.334,1.317,1.325,393329.0
2023-07-10 00:00:00+00:00,1.325,1.327,1.288,1.309,1566714.0
2023-07-10 04:00:00+00:00,1.309,1.312,1.292,1.299,432838.0
2023-07-10 08:00:00+00:00,1.299,1.313,1.285,1.306,948027.0
2023-07-10 12:00:00+00:00,1.306,1.326,1.299,1.324,2147116.0
2023-07-10 16:00:00+00:00,1.324,1.353,1.317,1.347,724889.0
2023-07-10 20:00:00+00:00,1.347,1.36,1.315,1.33,731630.0
2023-07-11 00:00:00+00:00,1.33,1.352,1.324,1.338,967508.0
2023-07-11 04:00:00+00:00,1.338,1.345,1.331,1.334,378006.0
2023-07-11 08:00:00+00:00,1.334,1.335,1.316,1.324,474859.0
2023-07-11 12:00:00+00:00,1.324,1.331,1.314,1.318,1911534.0
2023-07-11 16:00:00+00:00,1.318,1.324,1.305,1.312,1913659.0
2023-07-11 20:00:00+00:00,1.312,1.332,1.311,1.328,657826.0
2023-07-12 00:00:00+00:00,1.328,1.341,1.326,1.332,543308.0
2023-07-12 04:00:00+00:00,1.332,1.36,1.331,1.354,501729.0
2023-07-12 08:00:00+00:00,1.354,1.354,1.341,1.344,633176.0
2023-07-12 12:00:00+00:00,1.344,1.37,1.338,1.348,3529529.0
2023-07-12 16:00:00+00:00,1.348,1.351,1.305,1.31,2854206.0
2023-07-12 20:00:00+00:00,1.31,1.335,1.308,1.328,1089776.0
2023-07-13 00:00:00+00:00,1.328,1.333,1.315,1.322,698053.0
2023-07-13 04:00:00+00:00,1.322,1.336,1.313,1.325,506311.0
2023-07-13 08:00:00+00:00,1.325,1.353,1.323,1.343,924029.0
2023-07-13 12:00:00+00:00,1.343,1.398,1.333,1.383,2668644.0
2023-07-13 16:00:00+00:00,1.383,1.465,1.383,1.45,1886825.0
2023-07-13 20:00:00+00:00,1.45,1.469,1.418,1.463,287386.0
2023-07-14 00:00:00+00:00,1.463,1.51,1.459,1.483,2293482.0
2023-07-14 04:00:00+00:00,1.483,1.521,1.472,1.51,551864.0
2023-07-14 08:00:00+00:00,1.51,1.556,1.494,1.547,2650905.0
2023-07-14 12:00:00+00:00,1.547,1.595,1.536,1.569,4197311.0
2023-07-14 16:00:00+00:00,1.569,1.593,1.449,1.463,4024018.0
2023-07-14 20:00:00+00:00,1.463,1.505,1.446,1.498,1362334.0
2023-07-15 00:00:00+00:00,1.498,1.501,1.459,1.463,489055.0
2023-07-15 04:00:00+00:00,1.463,1.512,1.462,1.504,518589.0
2023-07-15 08:00:00+00:00,1.504,1.527,1.492,1.503,587274.0
2023-07-15 12:00:00+00:00,1.503,1.506,1.478,1.485,320810.0
2023-07-15 16:00:00+00:00,1.485,1.507,1.473,1.495,361679.0
2023-07-15 20:00:00+00:00,1.495,1.501,1.481,1.491,142313.0
2023-07-16 00:00:00+00:00,1.491,1.506,1.452,1.469,705990.0
2023-07-16 04:00:00+00:00,1.469,1.485,1.463,1.484,263376.0
2023-07-16 08:00:00+00:00,1.484,1.489,1.471,1.483,516121.0
2023-07-16 12:00:00+00:00,1.483,1.511,1.473,1.5,596626.0
2023-07-16 16:00:00+00:00,1.5,1.51,1.466,1.469,658194.0
2023-07-16 20:00:00+00:00,1.469,1.478,1.435,1.445,1481735.0
2023-07-17 00:00:00+00:00,1.445,1.476,1.436,1.475,790418.0
2023-07-17 04:00:00+00:00,1.475,1.506,1.471,1.502,1361053.0
2023-07-17 08:00:00+00:00,1.502,1.506,1.422,1.45,1588260.0
2023-07-17 12:00:00+00:00,1.45,1.497,1.434,1.46,745438.0
2023-07-17 16:00:00+00:00,1.46,1.473,1.424,1.453,818274.0
2023-07-17 20:00:00+00:00,1.453,1.501,1.44,1.5,991133.0
