ts,open,high,low,close,volume
2023-07-08 04:00:00+00:00,5.391,5.393,5.347,5.36,222165.0
2023-07-08 08:00:00+00:00,5.36,5.414,5.287,5.324,1199407.0
2023-07-08 12:00:00+00:00,5.324,5.333,5.289,5.309,587532.0
2023-07-08 16:00:00+00:00,5.309,5.32,5.2,5.201,1227497.0
2023-07-08 20:00:00+00:00,5.201,5.254,5.171,5.249,1215454.0
2023-07-09 00:00:00+00:00,5.249,5.331,5.237,5.31,761301.0
2023-07-09 04:00:00+00:00,5.31,5.325,5.233,5.266,497787.0
2023-07-09 08:00:00+00:00,5.266,5.296,5.227,5.262,313708.0
2023-07-09 12:00:00+00:00,5.262,5.289,5.197,5.222,348731.0
2023-07-09 16:00:00+00:00,5.222,5.257,5.199,5.25,552952.0
2023-07-09 20:00:00+00:00,5.25,5.259,5.196,5.225,484924.0
2023-07-10 00:00:00+00:00,5.225,5.233,5.06,5.125,1085149.0
2023-07-10 04:00:00+00:00,5.125,5.156,5.092,5.135,413858.0
2023-07-10 08:00:00+00:00,5.135,5.213,5.082,5.198,544774.0
2023-07-10 12:00:00+00:00,5.198,5.238,5.154,5.228,587723.0
2023-07-10 16:00:00+00:00,5.228,5.345,5.196,5.333,585528.0
2023-07-10 20:00:00+00:00,5.333,5.358,5.191,5.234,360702.0
2023-07-11 00:00:00+00:00,5.234,5.274,5.205,5.258,240752.0
2023-07-11 04:00:00+00:00,5.258,5.296,5.222,5.251,384905.0
2023-07-11 08:00:00+00:00,5.251,5.265,5.202,5.214,211830.0
2023-07-11 12:00:00+00:00,5.214,5.305,5.198,5.249,1160443.0
2023-07-11 16:00:00+00:00,5.249,5.278,5.185,5.189,606751.0
2023-07-11 20:00:00+00:00,5.189,5.273,5.189,5.261,1016584.0
2023-07-12 00:00:00+00:00,5.261,5.368,5.258,5.304,783552.0
2023-07-12 04:00:00+00:00,5.304,5.369,5.297,5.331,880008.0
2023-07-12 08:00:00+00:00,5.331,5.348,5.296,5.331,286887.0
2023-07-12 12:00:00+00:00,5.331,5.377,5.245,5.262,1178273.0
2023-07-12 16:00:00+00:00,5.262,5.29,5.176,5.196,811140.0
2023-07-12 20:00:00+00:00,5.196,5.281,5.187,5.272,520110.0
2023-07-13 00:00:00+00:00,5.272,5.298,5.22,5.236,231607.0
2023-07-13 04:00:00+00:00,5.236,5.361,5.216,5.318,308840.0
2023-07-13 08:00:00+00:00,5.318,5.387,5.304,5.352,573876.0
2023-07-13 12:00:00+00:00,5.352,5.527,5.318,5.507,1022931.0
2023-07-13 16:00:00+00:00,5.507,5.8,5.497,5.742,999870.0
2023-07-13 20:00:00+00:00,5.742,5.878,5.662,5.874,817882.0
2023-07-14 00:00:00+00:00,5.874,5.982,5.85,5.943,1127373.0
2023-07-14 04:00:00+00:00,5.943,5.978,5.889,5.912,240549.0
2023-07-14 08:00:00+00:00,5.912,5.994,5.842,5.896,1269428.0
2023-07-14 12:00:00+00:00,5.896,6.053,5.831,6.026,4068478.0
2023-07-14 16:00:00+00:00,6.026,6.151,5.688,5.769,5129370.0
2023-07-14 20:00:00+00:00,5.769,5.873,5.734,5.869,685458.0
2023-07-15 00:00:00+00:00,5.869,5.87,5.778,5.815,295984.0
2023-07-15 04:00:00+00:00,5.815,5.907,5.777,5.907,208529.0
2023-07-15 08:00:00+00:00,5.907,5.93,5.845,5.886,1097148.0
2023-07-15 12:00:00+00:00,5.886,5.931,5.842,5.842,729360.0
2023-07-15 16:00:00+00:00,5.842,5.846,5.765,5.819,550593.0
2023-07-15 20:00:00+00:00,5.819,5.823,5.758,5.812,220093.0
2023-07-16 00:00:00+00:00,5.812,5.832,5.663,5.739,395939.0
2023-07-16 04:00:00+00:00,5.739,5.786,5.721,5.761,204768.0
2023-07-16 08:00:00+00:00,5.761,5.779,5.715,5.767,517774.0
2023-07-16 12:00:00+00:00,5.767,5.845,5.763,5.807,1536350.0
2023-07-16 16:00:00+00:00,5.807,5.865,5.718,5.724,872389.0
2023-07-16 20:00:00+00:00,5.724,5.761,5.66,5.721,444890.0
2023-07-17 00:00:00+00:00,5.721,6.026,5.685,5.972,3608644.0
2023-07-17 04:00:00+00:00,5.972,6.139,5.955,6.022,5629640.0
2023-07-17 08:00:00+00:00,6.022,6.052,5.688,5.829,3108780.0
2023-07-17 12:00:00+00:00,5.829,6.021,5.712,5.853,3025745.0
2023-07-17 16:00:00+00:00,5.853,5.933,5.676,5.744,1828867.0
2023-07-17 20:00:00+00:00,5.744,5.938,5.73,5.908,1007880.0
2023-07-18 00:00:00+00:00,5.908,6.097,5.905,6.076,1868575.0
2023-07-18 04:00:00+00:00,6.076,6.274,6.016,6.187,10462796.0
2023-07-18 08:00:00+00:00,6.187,6.221,6.08,6.116,8568816.0
2023-07-18 12:00:00+00:00,6.116,6.14,5.913,5.949,4144819.0
2023-07-18 16:00:00+00:00,5.949,5.999,5.863,5.891,2045526.0
2023-07-18 20:00:00+00:00,5.891,5.921,5.857,5.909,1197630.0
2023-07-19 00:00:00+00:00,5.909,6.047,5.861,5.998,647746.0
2023-07-19 04:00:00+00:00,5.998,6.035,5.898,5.9,725453.0
2023-07-19 08:00:00+00:00,5.9,5.904,5.815,5.881,859047.0
2023-07-19 12:00:00+00:00,5.881,5.931,5.805,5.869,1660087.0
2023-07-19 16:00:00+00:00,5.869,5.981,5.827,5.953,865423.0
2023-07-19 20:00:00+00:00,5.953,5.958,5.853,5.872,442422.0
2023-07-20 00:00:00+00:00,5.872,5.92,5.835,5.853,418992.0
2023-07-20 04:00:00+00:00,5.853,5.95,5.815,5.944,532940.0
2023-07-20 08:00:00+00:00,5.944,6.162,5.94,6.091,2200448.0
2023-07-20 12:00:00+00:00,6.091,6.123,5.867,5.898,985483.0
2023-07-20 16:00:00+00:00,5.898,5.949,5.882,5.936,863826.0
2023-07-20 20:00:00+00:00,5.936,6.047,5.846,6.012,2579176.0
2023-07-21 00:00:00+00:00,6.012,6.24,5.939,6.167,1885347.0
2023-07-21 04:00:00+00:00,6.167,6.2,6.106,6.126,3014107.0
2023-07-21 08:00:00+00:00,6.126,6.203,6.111,6.19,3086896.0
2023-07-21 12:00:00+00:00,6.19,6.383,6.142,6.213,5819354.0
2023-07-21 16:00:00+00:00,6.213,6.283,6.167,6.207,2860427.0
2023-07-21 20:00:00+00:00,6.207,6.261,6.183,6.203,2052421.0
2023-07-22 00:00:00+00:00,6.203,6.253,6.157,6.208,791174.0
2023-07-22 04:00:00+00:00,6.208,6.221,6.159,6.198,781776.0
2023-07-22 08:00:00+00:00,6.198,6.211,6.107,6.163,1609848.0
2023-07-22 12:00:00+00:00,6.163,6.193,6.115,6.149,708671.0
2023-07-22 16:00:00+00:00,6.149,6.192,6.089,6.151,1290367.0
2023-07-22 20:00:00+00:00,6.151,6.18,5.952,5.989,1288631.0
2023-07-23 00:00:00+00:00,5.989,6.069,5.969,6.044,852579.0
2023-07-23 04:00:00+00:00,6.044,6.132,6.019,6.099,1286242.0
